2026-02-20 16:42:02 INFO  LogHelper:13 - Entering password
2026-02-20 16:42:05 INFO  LogHelper:13 - Clicking login button
2026-02-20 16:42:08 INFO  LogHelper:13 - Login successful, Time At Work verified
2026-02-20 16:42:08 INFO  LogHelper:13 - ===== Login Test Completed =====
2026-02-20 16:42:08 INFO  BaseClass:43 - ===== Test Teardown Started =====
2026-02-20 16:42:08 INFO  BaseClass:47 - Browser closed successfully
2026-02-20 16:42:08 INFO  BaseClass:21 - ===== Test Setup Started =====
2026-02-20 16:42:15 INFO  BaseClass:36 - Browser launched: chrome
2026-02-20 16:42:15 INFO  BaseClass:37 - Navigated to URL: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2026-02-20 16:42:15 INFO  BaseClass:38 - ExtentTest created for: testValidLogoutHRM
2026-02-20 16:42:15 INFO  LogHelper:13 - ====== Starting Logout Test ======
2026-02-20 16:42:15 INFO  LogHelper:13 - Entering email
2026-02-20 16:42:19 INFO  LogHelper:13 - Entering password.
2026-02-20 16:42:22 INFO  LogHelper:13 - Clicking login button
2026-02-20 16:42:26 INFO  LogHelper:13 - Clicking profile tab
2026-02-20 16:42:29 INFO  LogHelper:13 - Clicking signout tab
2026-02-20 16:42:34 INFO  LogHelper:13 - Logout successful, user signed out
2026-02-20 16:42:34 INFO  LogHelper:13 - ===== Logout Test Completed =====
2026-02-20 16:42:34 INFO  BaseClass:43 - ===== Test Teardown Started =====
2026-02-20 16:42:34 INFO  BaseClass:47 - Browser closed successfully
2026-02-20 16:42:34 INFO  BaseClassAK:23 - ======== Test Setup Started ========
2026-02-20 16:42:39 INFO  BaseClassAK:40 - Browser launched: null
2026-02-20 16:42:39 INFO  BaseClassAK:41 - Navigated to URL: https://signup.heroku.com/login
2026-02-20 16:42:39 INFO  BaseClassAK:42 - ExtentTest create for: TestLogin
2026-02-20 16:42:41 INFO  BaseClassAK:47 - ===== Teardown Started =====
2026-02-20 16:42:41 INFO  BaseClassAK:51 - Browser closed successfully
2026-02-20 16:42:42 INFO  BaseClassAK:58 - Extent Reports flushed
2026-02-20 16:42:42 INFO  BaseClass:60 - Extent Reports flushed
